Num,Document ,url,type,Pub_date,Access_date,Search,Databse,Type_actor,Condensed_gov_actors,Condensed_level,Condensed_function,Political_actor,Pol_actor_persp,Law_detailed,State_of_science,Process_as_is,Distinct_population,Recovery_goals,Agency_capacity,Human_wildlife_conflict,Native_persp,Costs_mgmt,Privateland_losshabitat,Hunting_mgmt,Climate_change
11,Bear Necessities / The grizzlies of Yellowstone have made a comeback but now there is debate about what they need to continue. SEE SIDEBAR: How to Keep Peace Between Man Beast: [ALL EDITIONS],https://www.proquest.com/usnews/docview/279437124/4B122FBFE9544D27PQ/19?accountid=14793&sourcetype=Newspapers,Newspaper,5/31/01,7/10/24,grizzly bear AND delist,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator ,,,,,,Servheen the national grizzly bear recovery coordinator said the Yellowstone-area bears are doing well and increasing in population at 3 or 4 percent a year ... we are not exceeding our mortality limits for either females or the population as a whole.,,Servheen said there were 19 human- caused bear deaths in and around the Yellowstone area last year 14 of them due to hunters. It is illegal to hunt grizzlies but the bears are killed by hunters who mistake them for black bears or who claim self-defense.,,,,,
13,Bear Necessities / The grizzlies of Yellowstone have made a comeback but now there is debate about what they need to continue. SEE SIDEBAR: How to Keep Peace Between Man Beast: [ALL EDITIONS],https://www.proquest.com/usnews/docview/279437124/4B122FBFE9544D27PQ/19?accountid=14793&sourcetype=Newspapers,Newspaper,5/31/01,7/10/24,grizzly bear AND delist,ProQuest U.S. Newsstream,Federal Agency ,Federal Executive,Federal,Executive,David Mattson a grizzly specialist at the U.S. Geological Survey field,,,,,,,,,,,,,We stand to lose two foods that are particularly important to the grizzlies Mattson said. The others are unpredictable. The grizzlies tend to feed during springtime on carcasses of elk and bison that died during the winter. When the winters are less harsh as they have been recently there are fewer carcasses to give the bears immediate access to protein-rich food as they emerge from their winter dens.
15,Grizzly Face-Off,https://www.proquest.com/usnews/docview/1824476154/CDC09605D4E49B7PQ/9?accountid=14793&sourcetype=Newspapers,Newspaper,5/16/16,7/11/24,grizzly bear AND delist,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen the U.S. Fish and Wildlife Service grizzly bear recovery coordinator since 1981,The objective of the Endangered Species Act is to get a species to the point where protection is no longer required says Servheen who announced his retirement at the end of April. Its not like the Wilderness Act where places must forever remain listed after theyve been designated. The ESA needs success stories to strengthen the law and the Yellowstone grizzly bear recovery is the greatest success story of all.,,The objective of the Endangered Species Act is to get a species to the point where protection is no longer required says Servheen who announced his retirement at the end of April. Its not like the Wilderness Act where places must forever remain listed after theyve been designated. The ESA needs success stories to strengthen the law and the Yellowstone grizzly bear recovery is the greatest success story of all.,,The Northern Continental Divide Ecosystem which spans 9600 square miles in northwestern Montana and includes Glacier National Park is home to an estimated 960 grizzly bears. A century ago Yellowstones grizzlies mingled and procreated with these northern neighbors and one goal of the 1993 Recovery Plan was to re-unite the two groups. But today more than 150 treacherous miles of farmland and roadways still separate the populations.Servheen however is confident the two populations will soon connect aided by projects to help the animals bridge highways like 1-90 which cuts the two populations in half. Even without connectivity the Yellowstone population is genetically healthy says Servheen. Its not a small isolated population; its a large isolated population.,We have three times as many bears occupying more than twice the range we did when we started says Servheen. Thats in spite of the fact that grizzly bears or Ursus arctos horribilis are the second slowest-reproducing land animal in North America just behind the musk ox taking two or three years to rear a single litter of cubs. And unlike most other listed species they sometimes kill human beings. Since 1872 grizzlies have killed eight people in Yellowstone National Park. And yet weve done it Servheen says. Thats a good story.,,,,,,,
17,Endangered and Threatened Wildlife and Plants; Removing the Greater Yellowstone Ecosystem Population of Grizzly Bears From the Federal List of Endangered and Threatened Wildlife,https://www.proquest.com/docview/1923039262/9BEC1F51579B43F6PQ/7?accountid=14793&sourcetype=Reports,Report,6/30/17,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service ,,This action is authorized by the Act. We are amending 50 CFR 17.11(h) by revising the listing for Bear grizzly under Mammals in the List of Endangered and Threatened Wildlife to remove the GYE grizzly bear DPS.                                                  Qoute from article,,In compliance with this order the GYE population of grizzly bears remained federally listed as threatened under the Act and the IGBST initiated more thorough research into the potential impact of whitebark pine decline on GYE grizzly bears. In this final rule among the other findings we respond to the District Courts remand and the Ninth Circuits determination that the Service failed to support its conclusion that whitebark pine declines did not threaten GYE grizzly bears.Qoute from article,,On March 11 2016 we proposed to designate the GYE population of grizzly bears as a DPS and to remove (delist) this DPS from the Federal List of Endangered and Threatened Wildlife (81 FR 13174). Qoute from article,In addition our proposed rule included a notice announcing the availability of the draft Grizzly Bear Recovery Plan Supplement: Revised Demographic Criteria and the draft 2016 Conservation Strategy. Qoute from article,,,We have not analyzed the costs or benefits of this rulemaking action because the Act precludes consideration of such impacts on listing and delisting determinations. Instead listing and delisting decisions are based solely on the best scientific and commercial data available regarding the status of the subject species.,,,
22,Interior Issues Proposed Rule for Removing Greater Yellowstone Ecosystem Population of Grizzly Bears From Federal List of Endangered Threatened Wildlife,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/usnews/wire-feeds/interior-issues-proposed-rule-removing-greater/docview/1823411006/sem-2?accountid=14793,Wire Feed,9/27/16,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service ,The State regulations describe Wyoming Montana and Idahos approach to managing human-caused mortality should we delist the grizzly bear in the GYE. The State regulatory mechanisms include Montanas Grizzly Bear Hunting Regulations Chapter 67 of the Wyoming Game and Fish Commission regulations Idahos Fish and Game Commission Proclamation and the Memorandum of Agreement Regarding the Management and Allocation of Discretionary Mortality of Grizzly Bears in the Greater Yellowstone Ecosystem (Tri-State MOA),Revise the List of Endangered and Threatened Wildlife in title 50 of the Code of Federal Regulations at 50 CFR 17.11(h) under the authority of the Endangered Species Act of 1973 as amended (16 U.S.C. 1531 et seq.) by removing the GreaterYellowstone Ecosystem (GYE) population of grizzly bears (Ursus arctos horribilis) (81 FR 13174),Our preliminary assessment is that these documents are consistent with the letter or intent of the regulatory requirements regarding human-caused mortality that we outlined in the proposed rule. Thus based on our review we believe the regulatory framework in Montana Wyoming and Idaho in combination with the Tri-State MOA will maintain a recovered population of grizzly bears in the GYE.,,,,,,,,,The State regulations describe Wyoming Montana and Idahos approach to managing human-caused mortality should we delist the grizzly bear in the GYE. The State regulatory mechanisms include Montanas Grizzly Bear Hunting Regulations Chapter 67 of the Wyoming Game and Fish Commission regulations Idahos Fish and Game Commission Proclamation and the Memorandum of Agreement Regarding the Management and Allocation of Discretionary Mortality of Grizzly Bears in the Greater Yellowstone Ecosystem (Tri-State MOA).,
23,Grizzly ruling entangles Montana bears outside of Yellowstone,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/usnews/newspapers/grizzly-ruling-entangles-montana-bears-outside/docview/2224566917/sem-2?accountid=14793,Newspaper,9/25/18,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service ,Our focus is to manage grizzly bears on the landscape including responding to conflict educating the Public about being safe in bear country minimizing conflicts and keeping grizzly bears at or above recovery levels.,,We stand behind our scientific finding that the Greater Yellowstone Ecosystem grizzly bear is biologically recovered and no longer requires protection under the Endangered Species Act the FWS statement read. Our determination was based on our rigorous interpretation of the law and is supported by the best available science and a comprehensive conservation strategy developed with our federal state and tribal partners. In light of the court’s ruling management of grizzly bears returns to the federal government and we will work with the states and tribes to ensure that this transition proceeds in accordance with the court’s order. The Service will examine this ruling to determine its likely impact on the future of this recovered iconic species.,,,,We stand behind our scientific finding that the Greater Yellowstone Ecosystem grizzly bear is biologically recovered and no longer requires protection under the Endangered Species Act the FWS statement read.,,,,,,
26,Grizzly Bear Comeback Prompts Growls of Protest,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/usnews/historical-newspapers/grizzly-bear-comeback-prompts-growls-protest/docview/816334884/sem-2?accountid=14793,Newspaper,1/13/97,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Interagency Grizzly Bear Committee,,,Proclaiming the highest count of bear cubs in the Yellowstone ecosystem in decades members of the Interagency Grizzly Bear Committee say they have moved a step closer toward removing the ambling carnivores from the list of federal protection,,,,But many conservationists regard the US Fish and Wildlife Services optimism with suspicion maintaining that government assertions are contradicted by independent scientists.,In 1994 and 1995 23 percent of the ecosystems breeding females were killed as a result of run-ins with humans on Public and private land,,,,,
31,BEAR DOWN: Grizzly bear euthanized after killing hiker in Yellowstone,https://www.proquest.com/docview/1704745296/AA0BC50090504ABEPQ/4?accountid=14793&sourcetype=Newspapers,Newspaper,8/14/14,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Amy Bartlett Yellowstone spokesperson The National Park Service,We dont want a bear running around the park looking at humans as a food source,,,,,In the 40 years since the listing the grizzlies have made a strong comeback with between 750 and 800 grizzlies now living in the Greater Yellowstone Ecosystem.Qoute from article,The grizzlys death has come as a blow to some wildlife advocates who were campaigning to save the mama bear.Qoute from article,Normally a bear would look to neutralize the threat to themselves and their cubs and then retreat. But this bear decided to consume a significant portion of the body.,,,,,
34,UPDATED: MT pols praise FWS review of grizzly ESA status,https://www.libproxy.uwyo.edu/login?url=https://www.proquest.com/newspapers/updated-mt-pols-praise-fws-review-grizzly-esa/docview/2772188787/se-2?accountid=14793,Newspaper,2/3/23,7/11/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,U.S. Fish and Wildlife Service,accepted requests from Montana and Wyoming to consider removing the grizzly bear from protection under the Endangered Species Act,,It’s pretty embarrassing for a multibillion-dollar company to try and save a few nickels on the backs of grizzly bears Servheen said. This plan has been ready to go for years and it’s all been examined in great detail and it lays out what they can do to help offset some of the effects of the railroad by helping fund some of these positions. It’s not a huge financial imposition on them so I can’t understand why they’re trying to avoid responsibility., the impact of recently enacted state laws and regulations affecting these two grizzly bear populations is of concern and needs to be evaluated. The Service will fully evaluate these and all other potential threats and associated state regulatory mechanisms,,,,,,,,,
53,Montana to start trucking grizzlies into Yellowstone region to improve delisting prospects,https://www.proquest.com/docview/2899184180/9B9DB0741EDC4238PQ/11?accountid=14793&sourcetype=Newspapers,Newspaper,12/7/23,7/12/24,grizzly bear AND Greater Yellowstone Ecosystem,ProQuest U.S. Newsstream,Federal Agency,Federal Executive,Federal,Executive,Chris Servheen Grizzly recovery coordinator  U.S. Fish and Wildlife Service,conditionally supports the step that state managers plan to take in 2024.I’m okay with them doing it in the interim until the bears are naturally connected Servheen said but I do not want trucking bears to be the alternative to minimizing mortality in the intervening areas. The optimum is for the bears to naturally connect.,,,,,,,,,,,,
