,Federal Executive,Federal Judicial ,Federal Legislature,Indegenous,Journalist,NGO,Public,State Executive,State Judicial,State Legislature,NumDocs,NumWords
Pol_actor_persp,58,4,50,12,15,88,19,55,0,3,304,1648
Law_detailed,48,12,77,9,154,32,7,36,0,1,376,2377
State_of_science,29,14,52,5,36,85,14,33,0,0,268,2209
Process_as_is,38,1,47,0,15,16,5,11,1,0,134,1234
Distinct_population,9,2,0,0,17,8,2,8,0,0,46,616
Recovery_goals,111,7,80,6,78,54,18,50,0,3,407,2032
Agency_capacity,36,3,56,0,30,45,7,47,0,1,225,1712
Human_wildlife_conflict,65,1,32,4,116,57,50,76,1,1,403,2765
Native_persp,6,3,3,54,20,10,2,3,0,1,102,1391
Costs_mgmt,10,0,10,1,14,11,3,11,0,0,60,640
Privateland_losshabitat,21,1,1,2,39,42,7,9,0,0,122,1426
Hunting_mgmt,21,8,5,20,101,59,27,35,1,1,278,2113
Climate_change,15,5,0,,50,19,13,4,1,1,108,1228
